지점,일시,평균 풍속(m/s),평균기압(hPa),평균 상대습도(%),평균 기온(°C),평균 수온(°C),평균 최대 파고(m),평균 유의 파고(m),최고 유의 파고(m),최고 최대 파고(m),평균 파주기(sec),최고 파주기(sec)
21229,2012-01-18,4.7,1021.9,64,9.1,13,1.7,1,1.5,3.1,3.2,5.8
21229,2012-01-19,10.2,1022.7,61,10.1,12.5,3.2,2,2.5,4.2,3.7,6.4
21229,2012-01-20,8.4,1022.5,55,9.3,12.5,3.3,2,2.4,4.4,3.8,7.1
21229,2012-01-21,5.5,1019.7,68,8,12.3,2.8,1.7,2.2,3.5,4,8
21229,2012-01-22,8,1016.3,69,6.3,12.4,4.9,3,4.8,8,5.1,9.1
21229,2012-01-23,8.4,1018.1,86,1.1,11.9,5.4,3.3,3.8,6.8,5.2,9.1
21229,2012-01-24,8.5,1018.8,62,.8,12.3,3.9,2.3,3,5.4,4.3,8
21229,2012-01-25,9.8,1017.5,71,.4,11.7,3.7,2.3,2.7,4.5,4.1,7.1
21229,2012-01-26,8.5,1021.6,52,3.3,11.9,3.1,1.9,2.6,4.1,3.6,7.1
21229,2012-01-27,7.5,1022,44,6,12.1,2.4,1.4,1.9,3.5,3.2,7.1
21229,2012-01-28,5.3,1024.5,62,4.6,11.9,2.8,1.7,2.5,4.2,3.6,7.1
21229,2012-01-29,6.3,1025.6,79,2.5,11.4,3.6,2.2,3.3,4.7,4,8
21229,2012-01-30,7.2,,56,2.4,11,3.3,2,2.3,4.1,4.8,9.1
21229,2012-01-31,9.6,1018.4,55,3.8,10.5,3.3,2.1,3.9,6,4.1,8
21229,2012-02-01,11.4,1016,74,-.1,9.6,5.4,3.3,4,6.9,5.4,10.7
21229,2012-02-02,10.6,1021.4,73,-1.7,9.9,5.6,3.2,3.6,7.3,5.5,9.1
21229,2012-02-03,6.4,1020.4,45,1.7,9.7,3,1.9,2.8,4,4.9,9.1
21229,2012-02-04,7.7,1022.2,45,4,9.2,3.6,2.1,3.2,5.7,4.4,8
21229,2012-02-05,2.9,1022.6,40,7,9.6,1.7,1,1.6,3,3.5,7.1
21229,2012-02-06,3.1,1014.8,49,9,10.5,.8,.5,.6,1.1,3.2,6.4
21229,2012-02-07,10.3,1009.1,61,4,10.8,3.7,2.2,3.4,6.2,3.7,8
21229,2012-02-08,10.3,1015.6,61,-.8,10.5,4.7,2.9,3.5,6,4.7,8
21229,2012-02-09,7.6,1022,49,1.5,10.1,3.5,2.1,2.7,5,4,8
21229,2012-02-10,7.7,1023,47,3.4,9.7,2.7,1.6,2,3.3,3.7,7.1
21229,2012-02-11,7.5,1024.6,50,3.6,9.7,2.7,1.7,2.1,3.4,4.2,7.1
21229,2012-02-12,5.4,1028.7,51,4.1,10,2.8,1.7,2.6,4.3,4.2,8
21229,2012-02-13,3.7,1023.2,48,8.5,10,1.3,.7,1.2,1.8,3.2,7.1
21229,2012-02-14,3.2,1018.2,58,9.2,9.7,.8,.5,.8,1.2,3,9.1
21229,2012-02-15,7.5,1020.1,63,4.5,9.5,3.5,2.1,4,6.1,4.1,9.1
21229,2012-02-16,9.3,1017.5,57,3.6,9.3,3,1.8,2,3.9,3.4,4
21229,2012-02-17,10.9,1017,59,1.4,9.1,3.9,2.4,2.8,4.4,4.1,6.4
21229,2012-02-18,6.7,1021.5,66,.8,8.8,3.3,1.9,2.2,4.3,4.3,8
21229,2012-02-19,4.5,1023.8,53,2.1,8.9,2.1,1.3,1.6,3,4.7,8
21229,2012-02-20,4.2,1024.2,42,5.9,8.9,1.4,.8,.9,1.6,3.5,5.3
21229,2012-02-21,4.9,1023.8,55,6.9,8.6,2,1.2,1.8,2.9,3.3,7.1
21229,2012-02-22,4.6,1018.2,59,8.9,8.9,1.5,1,1.3,1.9,3.3,7.1
21229,2012-02-23,8.3,1011.3,69,8.1,9.5,3,1.7,3.4,6.9,4.2,9.1
21229,2012-02-24,6.1,1020.4,54,5.2,9.2,4.2,2.6,3.8,5.6,5.4,10.7
21229,2012-02-25,6.2,1015.2,65,5.2,9.3,3.4,2.1,3,5.5,4.6,7.1
21229,2012-02-26,7.5,1021.1,63,2.7,8.6,3,1.9,2.1,3.6,4,7.1
21229,2012-02-27,4.6,1025.8,56,2.3,8.7,2.2,1.4,1.8,3,4.2,8
21229,2012-02-28,2.8,,46,5.9,9.1,1.8,1.1,1.3,2.4,4.5,9.1
21229,2012-02-29,3.6,1023.3,54,8.7,9.1,1.4,.8,1.1,1.8,3.1,4.6
21229,2012-03-01,4.1,1019.8,63,9.9,9.4,.8,.5,.6,1.1,2.6,3.4
21229,2012-03-02,7.1,1018.5,68,8.5,9.1,2.4,1.5,2.3,4,3.1,4.9
21229,2012-03-03,7.3,1026.9,69,6.5,9,3,1.8,2.3,4.5,3.9,8
21229,2012-03-04,7.7,1026.3,60,7,9.1,2.1,1.3,1.5,2.7,2.9,4.9
21229,2012-03-05,10,1014.6,74,8,9.3,3.6,2.2,3,4.8,3.9,8
21229,2012-03-06,6.3,1008.3,66,9.1,10.8,3,1.8,2.4,3.8,3.8,8
21229,2012-03-07,4.3,1016.2,58,8.7,10.9,2.4,1.4,1.7,2.9,4.7,9.1
21229,2012-03-08,4.2,1019.2,58,7.7,11.2,2.4,1.5,1.8,2.9,5.5,10.7
21229,2012-03-09,8.7,1020.3,62,7.2,12.1,3.5,2.2,2.6,4.6,4.3,9.1
21229,2012-03-10,4.6,1019.5,52,6.2,11.9,2.2,1.3,2.2,3.6,3.5,6.4
21229,2012-03-11,13,1013.7,50,5.2,10.9,4.8,2.9,4.4,8,4.4,6.4
21229,2012-03-12,8.8,1022.7,72,2,9.4,5.9,3.6,4.6,8.8,6.3,10.7
21229,2012-03-13,3.5,1024.8,43,4.4,9,2.5,1.6,2.6,4.2,4.8,9.1
21229,2012-03-14,7.5,1021.8,47,9.1,8.1,2.3,1.4,1.8,2.9,3.3,5.8
21229,2012-03-15,4.6,1028,52,6.8,9.4,2.3,1.4,2,3.3,3.9,9.1
21229,2012-03-16,6.9,1020.2,63,9.6,9.2,1.8,1.1,1.4,2.4,3.4,7.1
21229,2012-03-17,5.4,1010,84,10.7,10.2,2.1,1.2,1.4,2.6,3,4.3
21229,2012-03-18,7.3,1013.8,78,6.9,10.3,3,1.8,3.4,6.1,4.3,10.7
21229,2012-03-19,4.8,1019.1,50,5.4,10.3,3,1.7,3,5.4,4.4,8
21229,2012-03-20,4.7,1017,48,6.6,10.1,2,1.3,1.8,2.7,4,8
21229,2012-03-21,5.6,1019.8,43,8.6,10.2,1.7,1,1.6,2.8,3.3,7.1
21229,2012-03-22,6.3,1018.5,51,11.2,10.5,2.5,1.5,1.9,3.5,3.2,3.8
21229,2012-03-23,9.5,1009.6,69,8.9,10.8,3.3,2.1,3.2,5.2,4,8
21229,2012-03-24,7.3,1004.7,66,6.9,10.6,3.6,2.2,3.9,6.2,4.1,7.1
21229,2012-03-25,10.2,1012.2,51,6.7,10.6,5,3.1,4.3,7.1,4.5,8
21229,2012-03-26,7.2,1019.5,52,6.8,11.5,2.5,1.5,2.2,3.4,3.5,7.1
21229,2012-03-27,7.6,1018.5,51,11.9,10.9,2.1,1.3,1.9,3.4,2.7,4.6
21229,2012-03-28,6.4,1023.5,62,10.7,11.4,1.9,1.2,1.8,3.2,3.6,6.4
21229,2012-03-29,9.7,1020.7,69,12.7,11.8,2.6,1.5,2.4,4.2,2.9,3.8
21229,2012-03-30,9.1,1011.4,78,13.9,11.3,3.8,2.3,2.9,5.1,4.2,8
21229,2012-03-31,5.8,1011.5,55,8.2,11.2,2.6,1.6,1.9,3.3,3.8,7.1
21229,2012-04-01,7.6,1019.7,41,7,11.6,3.1,1.9,2.6,4.2,4.2,8
21229,2012-04-02,8.5,1017.4,63,11.4,11.5,2.3,1.5,2.3,3.6,3.3,5.3
21229,2012-04-03,11.6,995.9,76,9.6,11,6.8,4,7.7,13.7,4.8,9.1
21229,2012-04-04,10.2,1007.1,51,10.7,11.3,8.2,5,6.1,12.8,7.1,12.8
21229,2012-04-05,6.9,1008.2,46,10.2,11.3,4.7,2.8,3.6,6.1,6.2,10.7
21229,2012-04-06,6.8,1013.2,57,6.8,11.2,3,1.8,2.4,3.6,5.6,10.7
21229,2012-04-07,3.4,1020.7,47,6.3,11,1.7,1.1,1.4,2.2,4.3,10.7
21229,2012-04-08,7.2,1015.5,67,12.9,11,2.7,1.6,2.3,4.2,3.3,6.4
21229,2012-04-09,5.3,1018.2,72,13.9,11.4,2.7,1.7,2.6,4.3,3.9,7.1
21229,2012-04-10,4.6,1015.5,85,12.9,11.9,1.5,.9,1.1,2.1,3.3,6.4
21229,2012-04-11,6.9,1003.6,77,12,12.1,2.8,1.7,2.6,4.7,3.6,6.4
21229,2012-04-12,5.3,1007,65,12.8,12.2,2.1,1.3,1.8,2.9,3.6,7.1
21229,2012-04-13,5.9,1012.8,52,12.8,12.4,1.8,1.1,1.4,2.3,3,5.3
21229,2012-04-14,3.9,1013,72,12.7,12.8,.9,.5,.8,1.4,2.6,4.6
21229,2012-04-15,6.9,1012.2,75,13.9,13.1,1.4,.8,1,1.8,2.3,4
21229,2012-04-16,6.5,1011.4,71,13,13.5,1.5,.9,1.3,2.3,2.4,3
21229,2012-04-17,5.7,1017.1,57,12.1,12.6,1.5,.9,1.1,1.8,2.6,5.3
21229,2012-04-18,5.2,1020.3,64,12.6,12,1.5,.9,1.1,2.2,2.7,4.9
21229,2012-04-19,5.4,1022.6,73,12.9,12.2,2.2,1.3,1.6,2.8,3,5.8
21229,2012-04-20,4.9,1024.9,72,12.5,12.4,1.7,1,1.4,2.4,2.9,3.2
21229,2012-04-21,7.3,1017.4,81,13.3,12.4,2.1,1.2,1.9,3.5,2.9,5.3
21229,2012-04-22,9.8,1004.5,82,15,12.5,4.3,2.5,3.6,6.5,3.8,4.6
21229,2012-04-23,6.9,1009.8,77,15.2,12.9,2.8,1.7,2.8,4.1,4.3,8
21229,2012-04-24,2.8,1012.5,76,16.8,13.6,1.4,.9,1.1,1.8,3.4,5.8
21229,2012-04-25,5.1,1005.9,86,15.4,14,1.3,.7,1.1,1.9,2.4,2.7
21229,2012-04-26,6.3,1001.3,70,15.6,13.8,2.7,1.7,2.1,3.6,3.6,7.1
21229,2012-04-27,5.8,1012.1,71,15.6,13.8,1.7,1,1.4,2.6,3.1,5.3
21229,2012-04-28,4.7,1013.5,76,16,13.8,1.8,1.1,1.5,2.5,2.9,5.3
21229,2012-04-29,1.7,1015.3,83,15.8,13.7,1.3,.8,1.3,2.4,3.1,5.8
21229,2012-04-30,2.4,1014.7,81,16.8,14.1,.6,.3,.6,1.1,2.8,6.4
21229,2012-05-01,2.6,1011.5,83,17,14.6,.7,.4,.6,1,2.2,3.6
21229,2012-05-02,5.9,1007.2,85,16.1,14.4,1.7,1,1.6,2.8,2.7,5.3
21229,2012-05-03,9.3,1002.3,87,13.4,13.7,2.7,1.7,2.8,4.8,3.1,5.8
21229,2012-05-04,7.4,1004.7,86,13.5,13.2,3.7,2.3,3.2,4.9,4.5,8
21229,2012-05-05,5.5,1002.3,80,15.6,13.8,2.2,1.3,1.7,2.6,4.2,4.6
21229,2012-05-06,5.2,1004.7,65,16.3,14.2,1.6,1,1.4,2.4,4.4,8
21229,2012-05-07,2.8,1005.8,68,17.1,14.6,1.1,.7,.8,1.4,3.4,5.3
21229,2012-05-08,3.2,1008.1,86,15.9,14.6,1,.6,.7,1.2,2.9,5.3
21229,2012-05-09,3.6,1013.1,86,15,15.1,.7,.4,.6,1,2.5,3.2
21229,2012-05-10,6.4,1018,72,13.6,14.6,1.6,.9,1.2,2.1,2.6,3
21229,2012-05-11,6.1,1019.2,66,12,14.5,2.4,1.5,2.3,3.2,4,7.1
21229,2012-05-12,3.2,1017,65,12.9,15.3,3,1.9,2.2,3.9,5.3,9.1
21229,2012-05-13,6.2,1013.4,73,16,15.4,2.2,1.3,1.6,3,4.4,5.3
21229,2012-05-14,4.8,1011,83,16.8,15.7,1.4,.8,1.1,2,3,4.3
21229,2012-05-15,3.4,1004.2,81,17,16.2,1.1,.7,.9,1.4,2.8,5.3
21229,2012-05-16,5,1003.3,69,18.3,16.5,.9,.5,.7,1.2,2.3,4
21229,2012-05-17,6.7,1002.5,73,16.6,16.2,1.6,1,1.3,2.6,2.9,6.4
21229,2012-05-18,5.7,1012.6,69,17.4,16.4,1.1,.6,.9,1.5,2.7,3.4
21229,2012-05-19,5.2,1015.6,76,18.4,16.7,.9,.5,.7,1.3,2.2,4
21229,2012-05-20,4.2,1016.3,81,18.1,17.1,.8,.5,.7,1.1,2.2,2.5
21229,2012-05-21,3.9,1018.8,77,18.3,17.5,.7,.4,.5,1,2.4,4.6
21229,2012-05-22,4,1015.9,66,18.8,17.8,.7,.3,.4,.8,2.3,4
21229,2012-05-23,3,1011.2,77,18.9,18,.6,.3,.4,.7,2.6,5.3
21229,2012-05-24,3.1,1009.8,81,19.1,17.9,.8,.4,.6,1,2.2,3.6
21229,2012-05-25,2.7,1008.7,82,19.7,18.4,.7,.4,.7,1,3,5.8
21229,2012-05-26,2.4,1009.3,77,20.4,18.4,1,.6,1,1.6,2.8,5.3
21229,2012-05-27,2.9,1010.7,75,20,18.4,.7,.4,.6,1.1,2.2,4
21229,2012-05-28,5.6,1018.2,69,17.3,18,1.9,1.1,1.5,2.4,3.4,8
21229,2012-05-29,4.8,1020.2,72,17.7,18,1.9,1.2,1.4,2.5,4.3,8
21229,2012-05-30,4,1021.1,68,18.2,17.9,1.3,.8,.9,1.6,3.4,6.4
21229,2012-05-31,3,1019.3,67,18.2,18.2,1,.6,.8,1.2,2.7,4.9
21229,2012-06-01,3,1017.3,68,18.7,18.6,.7,.4,.5,.9,2.6,4.9
21229,2012-06-02,3.9,1016.2,70,18.9,18.3,.9,.5,.7,1.4,2.3,4.6
21229,2012-06-03,2.7,1014,71,19.1,19,1,.6,.7,1.2,3.3,5.3
21229,2012-06-04,5.3,1011.9,81,20,18.8,1,.6,.8,1.3,2.7,4.9
21229,2012-06-05,4.2,1005.8,82,21.2,19.3,1.1,.7,.9,1.7,2.3,4.6
21229,2012-06-06,4.1,1003.4,75,21.1,19.4,1,.6,.8,1.4,2.6,5.3
21229,2012-06-07,3.9,1005.9,81,21.3,19.5,.6,.4,.6,1.1,2.4,4.3
21229,2012-06-08,4.3,1002.9,83,21.3,19.9,1.3,.8,1.2,1.8,3.1,5.3
21229,2012-06-09,5.5,1001.9,82,20.9,19.6,1.4,.9,1.2,2,3.2,7.1
21229,2012-06-10,3.3,1003.7,77,20.6,20,1.2,.7,.9,1.5,3.4,5.8
21229,2012-06-11,5,1002.8,74,21.1,20.3,1.3,.7,.9,1.8,2.8,3.4
21229,2012-06-12,5.3,1002.5,79,21,20.4,1.8,1.1,1.7,2.9,3.2,4
21229,2012-06-13,7.3,1008.7,80,20.1,20.3,3.1,1.9,2.1,3.9,4.3,8
21229,2012-06-14,5.5,1014.7,81,20.6,20.3,2.2,1.4,2,3.2,4.1,8
21229,2012-06-15,4.8,1012.6,81,21.7,20.5,1.7,1,1.1,2.1,3,3.8
21229,2012-06-16,5.8,1006.5,81,21.2,20.3,1.9,1.1,1.4,2.5,3,3.8
21229,2012-06-17,3.1,1009.9,82,22,20.8,1.5,.9,1.3,2.1,3.7,6.4
21229,2012-06-18,4.6,1008.3,84,22.5,20.7,1.3,.8,1.5,3,2.7,4.9
21229,2012-06-19,7.6,1001.2,84,21.2,20.6,2.3,1.4,2,3.7,3.5,5.8
21229,2012-06-20,6.8,1005.1,77,21,20.5,3.4,2.1,2.6,4.1,4.6,8
21229,2012-06-21,4.6,1008.9,75,21.1,20.5,2.2,1.4,1.7,2.7,4.9,8
21229,2012-06-22,3.1,1010.9,71,21.2,20.7,1.9,1.1,1.3,2.4,4.8,8
21229,2012-06-23,5.2,1010,77,21.8,20.9,1.5,.9,1,1.7,3.7,7.1
21229,2012-06-24,5.8,1008.8,75,21.9,20.9,1.6,.9,1.5,2.7,2.7,4.9
21229,2012-06-25,7.3,1011.7,70,21.3,21,2.5,1.5,1.7,3.1,3.5,6.4
21229,2012-06-26,6.3,1014.8,70,20.5,20.7,2,1.3,1.5,2.5,3.1,6.4
21229,2012-06-27,5.6,1015.3,76,20.6,20.9,1.5,.9,1.1,2,3,6.4
21229,2012-06-28,5.5,1013.9,82,21.5,21,1.2,.7,.8,1.5,2.4,5.3
21229,2012-06-29,3.4,1011.6,79,22.3,21.3,.8,.5,.7,1.1,2.3,4
21229,2012-06-30,9.6,1003.2,87,23.4,21.1,2.6,1.5,2.4,4.2,2.8,4
21229,2012-07-01,3.7,1003,82,22.5,21.2,2,1.2,1.8,3.2,3.6,7.1
21229,2012-07-02,3,1001.9,85,23.5,21.8,1.2,.7,1,1.7,3.5,7.1
21229,2012-07-03,2,999.8,85,23.5,21.9,1,.6,.7,1.3,3.5,6.4
21229,2012-07-04,4.5,1002.3,87,24,22,1.5,.9,1.2,2.1,3.3,5.8
21229,2012-07-05,3.6,1005.3,82,24.6,22.5,1.5,.9,1.2,2.3,3.1,6.4
21229,2012-07-06,7.2,999.3,86,23.4,22.3,2,1.2,2,3.5,3.6,7.1
21229,2012-07-07,6.4,1003.4,75,22.3,21.8,2.2,1.3,1.5,2.7,3.8,7.1
21229,2012-07-08,2.4,1006.6,67,22.7,22.2,1.6,1,1.3,2.2,4.2,7.1
21229,2012-07-09,4.7,1007.4,76,23.2,22.2,1,.6,.8,1.3,3,5.8
21229,2012-07-10,4.8,1007.2,82,23.6,22.4,.9,.5,.8,1.4,2.2,3.8
21229,2012-07-11,7.7,998,84,24.5,22.2,2.3,1.4,2.4,4.1,2.8,3.8
21229,2012-07-12,3,999.5,85,23.9,22.7,2.4,1.4,2.2,4.9,3.7,7.1
21229,2012-07-13,4.4,1002,88,23.6,22.5,2.9,1.7,2.2,3.7,5.4,10.7
21229,2012-07-14,2,1003,91,23.6,22.5,3,1.9,2.1,3.5,5.8,10.7
21229,2012-07-15,5.3,1002.9,89,23.9,22.4,2.5,1.5,1.8,3.3,4.4,9.1
21229,2012-07-16,5,1009.7,85,22.7,22.6,1.7,1.1,1.6,2.8,3.3,5.8
21229,2012-07-17,2.1,1014.5,86,22.9,22.7,.8,.5,.7,1.1,3.2,4.9
21229,2012-07-18,4.2,1012.7,91,23.4,22.3,.8,.5,.7,1.2,2.5,4.9
21229,2012-07-19,6.8,1007.5,87,25.1,22.7,2.1,1.3,2.1,3.4,3.6,7.1
21229,2012-07-20,3,1008,84,25.4,23.3,1.9,1.2,1.8,2.8,3.4,6.4
21229,2012-07-21,3.6,1011.6,81,24.3,24,1.9,1.2,1.4,2.3,4.2,7.1
21229,2012-07-22,2.7,1011.4,80,24.7,24,1.6,1,1.2,2.2,3.8,7.1
21229,2012-07-23,4.5,1009.9,88,25.9,24,1.1,.6,.8,1.4,2.9,6.4
21229,2012-07-24,3.2,1012.3,87,26.5,24.2,1,.6,.8,1.5,2.3,4.6
21229,2012-07-25,2.5,1012.5,85,27.4,25.4,.5,.3,.3,.6,2.3,3.6
21229,2012-07-26,3.4,1009,86,27.6,26,.6,.3,.5,.8,2.3,4
21229,2012-07-27,3.8,1007.7,82,28.1,25.9,1,.6,1,1.7,2.3,2.8
21229,2012-07-28,2.2,1008.8,73,28.7,26.2,.8,.5,.8,1.2,2.5,4.6
21229,2012-07-29,4.3,1006.4,84,28.2,26.3,.6,.4,.6,1.1,2.4,4.3
21229,2012-07-30,5.4,1005.5,85,28.2,26.4,1.4,.8,1.1,1.9,2.6,4.9
21229,2012-07-31,3.9,1007.6,84,28.3,26.7,1.1,.6,1,1.8,2.6,5.3
21229,2012-08-01,4.2,1009.5,84,28.3,27.1,.7,.4,.9,1.5,2.7,3.8
21229,2012-08-02,3.6,1011.6,84,28.8,27.4,1.3,.8,.9,1.6,3.1,5.8
21229,2012-08-03,4,1013.2,83,28.8,27.7,1.2,.7,.8,1.4,3,5.3
21229,2012-08-04,3.2,1011.9,80,28.9,28.1,1.3,.8,.9,1.6,3.1,5.8
21229,2012-08-05,3.2,1008.5,79,29,28.2,.9,.5,.6,1.1,3,5.3
21229,2012-08-06,5,1007.4,76,28.8,28.2,1,.6,.7,1.3,2.6,3.2
21229,2012-08-07,5.6,1009.6,67,28.1,27.9,1.3,.8,1,1.7,2.5,4.6
21229,2012-08-08,3.8,1008.9,66,27.2,27.6,1.6,.9,1,1.9,3.5,6.4
21229,2012-08-09,3.3,1007.1,65,27.3,27.5,1.5,.9,1.2,2.2,5.3,10.7
21229,2012-08-10,3.6,1007.2,68,27.6,27.3,1,.6,.9,1.6,4.1,4.9
21229,2012-08-11,3.9,1007.6,73,27.9,27.3,.7,.4,.6,1,3.2,5.8
21229,2012-08-12,3.9,1004.7,79,28.4,27.4,.8,.5,.6,1.1,2.3,3.6
21229,2012-08-13,6.1,1003.5,76,26.4,27.2,1.5,.9,1.6,2.8,3,6.4
21229,2012-08-14,5.6,1010.4,68,27.2,27.2,1.6,.9,1.3,2,3.2,6.4
21229,2012-08-15,11,1005.6,82,28.6,26.5,3.7,2.2,3.2,5.6,3.3,4
21229,2012-08-16,4.7,1011.3,82,26.5,25.7,2.5,1.5,2.8,4.6,3.8,8
21229,2012-08-17,3.4,1013.5,80,26.7,26.2,1,.6,.9,1.6,3.5,7.1
21229,2012-08-18,5.2,1011.2,86,28,26.1,.9,.5,.7,1.2,2.7,4
21229,2012-08-19,7.8,1008.7,84,28.5,26.5,1.8,1.1,1.3,2.2,2.7,5.3
21229,2012-08-20,8.3,1008.8,81,28.5,26.5,2.4,1.4,1.7,2.9,3.3,5.8
21229,2012-08-21,6.6,1010.5,83,28.5,26.7,1.7,1,1.2,2.2,2.9,5.8
21229,2012-08-22,8,1010.3,80,27.8,26.5,2.7,1.7,2.3,3.8,3.5,7.1
21229,2012-08-23,5.4,1016.2,82,25.7,26.4,2.4,1.5,1.8,3,4.3,7.1
21229,2012-08-24,6.3,1016.6,84,25.7,26.1,1.8,1.1,1.5,2.6,2.7,5.3
21229,2012-08-25,3.7,1015.8,87,27.1,26.4,.9,.5,.7,1.3,2.8,5.3
21229,2012-08-26,2.6,1013.8,86,27.7,26.2,.7,.4,.5,.9,3.1,5.8
21229,2012-08-27,4.8,1012.4,84,28.6,27.1,1,.6,1.1,1.8,2.7,5.3
21229,2012-08-28,11.2,1005.4,75,29,26.3,4.1,2.5,4.8,8,4.1,9.1
21229,2012-08-29,10.1,1007,79,26.6,23.5,5.4,3.1,4.7,9.5,4.6,9.1
21229,2012-08-30,4.5,1008,84,26.1,23.7,1.8,1.1,2.4,3.8,4.8,10.7
21229,2012-08-31,10.2,1006.7,84,22.9,24.3,4.1,2.5,3.2,5.5,4.2,5.8
21229,2012-09-01,5.3,1012.7,84,22.8,23.1,2.4,1.4,1.9,3.2,3.6,4.6
21229,2012-09-02,1.7,1014,79,24.2,23.4,2,1.3,1.6,2.5,4.3,8
21229,2012-09-03,3.1,1013.2,79,25.3,25.5,1.3,.8,1.1,1.9,3.5,7.1
21229,2012-09-04,6.4,1014,82,26.4,25.3,1.3,.8,1.2,2.1,3,5.8
21229,2012-09-05,6.8,1015.2,80,26.3,25.2,2.1,1.3,1.6,2.8,3.9,5.3
21229,2012-09-06,4.1,1018,58,24.7,25.2,1.4,.8,1.1,1.9,3.6,8
21229,2012-09-07,2.1,1019.6,68,24.2,25.3,.8,.5,.6,1,3,4
21229,2012-09-08,6.3,1013.2,77,24.9,24.8,1.6,1,2.1,3.8,3,5.3
21229,2012-09-09,3.4,1013.4,69,23.4,24.5,1.9,1.2,1.5,2.7,3.3,6.4
21229,2012-09-10,5.5,1014,69,23,24.2,1.3,.7,1,1.8,2.8,4.9
21229,2012-09-11,4.8,1014.3,65,23.3,23.2,1.5,.9,1.1,1.9,2.5,3.4
21229,2012-09-12,1.1,1011.7,66,23.2,23.1,.7,.4,.6,1.3,2.8,3.8
21229,2012-09-13,3.1,1010.3,71,24.4,23.3,.7,.4,.5,.9,3,5.8
21229,2012-09-14,7.5,1012.3,82,23.1,23.2,1.4,.9,1.3,2.2,2.7,5.3
21229,2012-09-15,7.9,1017.5,75,22.2,23,2.4,1.4,1.8,2.9,3.1,5.8
21229,2012-09-16,10.2,1015.7,86,23.2,23,3.6,2.2,3.8,7,3.5,7.1
21229,2012-09-17,11.2,998,80,26,23,5.4,3.4,6.5,10.4,4.7,10.7
21229,2012-09-18,7.9,1002.4,74,23.3,22.5,4.5,2.8,5.1,8.1,4.8,10.7
21229,2012-09-19,4.9,1007.4,70,23.7,22.5,2.3,1.4,1.8,2.9,4.8,9.1
21229,2012-09-20,3.3,1014.4,67,23.3,22.7,1.5,.9,1.1,2.1,4.3,8
21229,2012-09-21,1.6,1015.5,70,22.9,22.6,.7,.4,.7,1,3.8,6.4
21229,2012-09-22,3.9,1012.9,69,22.5,22.4,.7,.4,.7,1.2,2.9,7.1
21229,2012-09-23,5.2,1010.7,68,22.8,22.5,1.2,.7,1.1,2,2.7,5.3
21229,2012-09-24,6.8,1014.8,67,22,22,2,1.2,1.7,2.8,3.3,7.1
21229,2012-09-25,6.6,1021.3,58,21.8,21.6,2.6,1.5,1.9,3.2,4,7.1
21229,2012-09-26,4.9,1022.5,59,21.7,21.5,1.9,1.1,1.4,2.3,4.2,7.1
21229,2012-09-27,5.2,1019.4,71,22.5,21.5,1.8,1.1,1.4,2.5,4.3,8
